"","day","year","mo","da","temp","visib","wdsp","prcp","sndp","fog","NUM_CRIMES"
"204",5,2015,7,23,77.7,10,4.1,0,999.9,0,810
"205",6,2015,7,24,79.2,10,6,0,999.9,0,867
"206",7,2015,7,25,80.8,10,8.2,0,999.9,0,831
"207",1,2015,7,26,77.4,10,4.7,0,999.9,0,802
"208",2,2015,7,27,80.3,9.5,6.8,0,999.9,0,835
"209",3,2015,7,28,82.9,10,6.8,0,999.9,0,767
"210",4,2015,7,29,83.3,9.5,8,0.07,999.9,0,763
"211",5,2015,7,30,80,10,9.5,0,999.9,0,775
"212",6,2015,7,31,80.7,10,9.9,0,999.9,0,781
"213",7,2015,8,1,78.2,10,8,0,999.9,0,1044
"214",1,2015,8,2,82.5,10,12.6,0,999.9,0,821
"215",2,2015,8,3,77.8,9.8,9.5,1.06,999.9,0,729
"216",3,2015,8,4,75,10,6.1,0,999.9,0,761
"217",4,2015,8,5,75.6,10,5.1,0,999.9,0,772
"218",5,2015,8,6,76.2,10,7.9,0,999.9,0,809
"219",6,2015,8,7,76.4,10,7.5,0,999.9,0,839
"220",7,2015,8,8,78.1,10,6.5,0,999.9,0,849
"221",1,2015,8,9,74.6,7.2,4.3,0,999.9,0,745
"222",2,2015,8,10,77.8,8.8,4.8,0,999.9,0,808
"223",3,2015,8,11,75,10,6.9,0.25,999.9,0,790
"224",4,2015,8,12,72.7,10,4.4,0,999.9,0,760
"225",5,2015,8,13,75.6,10,7.8,0,999.9,0,784
"226",6,2015,8,14,79.4,10,8.3,0,999.9,0,808
"227",7,2015,8,15,78,9.8,6.2,0.29,999.9,0,824
"228",1,2015,8,16,80.7,10,7.1,0.05,999.9,0,865
"229",2,2015,8,17,81.2,10,6.9,0,999.9,0,741
"230",3,2015,8,18,75.8,8.5,7.1,0.7,999.9,0,762
"231",4,2015,8,19,73.9,9.7,12.2,0.94,999.9,0,792
"232",5,2015,8,20,67.2,10,14,0,999.9,0,838
"233",6,2015,8,21,71.7,10,7.4,0,999.9,0,858
"234",7,2015,8,22,75.3,10,7.8,0,999.9,0,845
"235",1,2015,8,23,74.1,9.6,9.9,0,999.9,0,806
"236",2,2015,8,24,67.4,10,11.4,0.09,999.9,0,724
"237",3,2015,8,25,65.4,10,8.6,0,999.9,0,767
"238",4,2015,8,26,64.2,10,5.3,0,999.9,0,792
"239",5,2015,8,27,65.5,9.9,3.8,0,999.9,0,764
"240",6,2015,8,28,68.8,9.9,4.9,0,999.9,0,806
"241",7,2015,8,29,70.8,9.3,5.6,0.22,999.9,0,760
"242",1,2015,8,30,71,5.7,4.3,0.15,999.9,0,800
"243",2,2015,8,31,74.8,7,2.3,0,999.9,0,745
"244",3,2015,9,1,80.8,9.6,6.6,0,999.9,0,953
"245",4,2015,9,2,82.2,9.8,7.6,0,999.9,0,801
"246",5,2015,9,3,83.9,10,7.5,0,999.9,0,875
"247",6,2015,9,4,76.9,9.8,6.1,0,999.9,0,815
"248",7,2015,9,5,76.9,9.9,6.2,0,999.9,0,765
"249",1,2015,9,6,82.8,10,6.9,0.02,999.9,0,818
"250",2,2015,9,7,83.6,10,7.5,0,999.9,0,808
"251",3,2015,9,8,80,9.4,8,0,999.9,1,717
"252",4,2015,9,9,72.4,9.8,6.2,1.01,999.9,0,711
"253",5,2015,9,10,66.6,10,4.5,0,999.9,0,658
"254",6,2015,9,11,63.4,9.7,7.2,0.22,999.9,0,691
"255",7,2015,9,12,59.2,9.8,10.5,0.24,999.9,0,724
"256",1,2015,9,13,60.3,10,6.8,0.13,999.9,0,734
"257",2,2015,9,14,67.4,10,9.3,0,999.9,0,790
"258",3,2015,9,15,73.7,10,10.2,0,999.9,0,811
"259",4,2015,9,16,73.5,10,8.6,0,999.9,0,766
"260",5,2015,9,17,75,10,9.3,0,999.9,0,717
"261",6,2015,9,18,74.2,7.7,8.8,0.26,999.9,0,791
"262",7,2015,9,19,66.8,8.7,9.6,1.7,999.9,0,792
"263",1,2015,9,20,62.4,10,3.2,0.04,999.9,0,811
"264",2,2015,9,21,64.5,10,5.6,0,999.9,0,735
