"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","visib","prcp","sndp","fog","NUM_CRIMES"
"88",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,52,8.9,10,0.25,999.9,0,0.423312883435583
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,42.9,10.7,10,0,999.9,0,0.390593047034765
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,56.3,10.3,10,0,999.9,0,0.347648261758691
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,55,6.3,10,0,999.9,0,0.353783231083845
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,43.6,10.5,5.1,0.11,999.9,0,0.204498977505112
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,47.2,7.6,3.2,0.04,999.9,1,0.359918200408998
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,54.6,9.1,4.3,0.21,999.9,0,0.296523517382413
"95",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,54.5,19.2,9.8,0.82,999.9,0,0.431492842535787
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,50.5,7.2,10,0,999.9,0,0.443762781186094
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,58.8,8,10,0,999.9,0,0.552147239263804
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,63.3,10.5,9.8,0.11,999.9,0,0.474437627811861
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,58.2,5.1,10,0.03,999.9,0,0.539877300613497
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,56,9.6,10,0,999.9,0,0.603271983640082
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,54.8,7.1,8.8,0.34,999.9,0,0.374233128834356
"102",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,62.4,3.8,9.1,0,999.9,0,0.576687116564417
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,62.3,7.4,10,0,999.9,0,0.543967280163599
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,57.5,8.7,9.4,0,999.9,0,0.408997955010225
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,50.8,14.1,7,0.42,999.9,0,0.49079754601227
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,47.6,16.2,10,0,999.9,0,0.32719836400818
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,42.2,12.7,9.9,0,999.9,0,0.366053169734151
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,44.5,7.9,10,0,999.9,0,0.466257668711656
"109",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,47.5,4.3,10,0,999.9,0,0.52760736196319
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,45.9,13.1,8.8,0.29,999.9,0,0.392638036809816
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,47.1,10.7,10,0.34,999.9,0,0.439672801635992
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,49.1,11.9,10,0,999.9,0,0.445807770961145
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,49.1,5.4,10,0,999.9,0,0.439672801635992
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,52.3,5.2,10,0,999.9,0,0.537832310838446
"115",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,48,12.1,10,0,999.9,0,0.333333333333333
"116",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2015,52.2,5.5,10,0,999.9,0,0.916155419222904
"117",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2015,64.9,5.8,10,0,999.9,0,0.374233128834356
"118",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2015,70.1,8.5,10,0,999.9,0,0.494887525562372
"119",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2015,67.8,8.4,10,0.2,999.9,0,0.56441717791411
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2015,56.1,7.2,5.8,0.78,999.9,0,0.394683026584867
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2015,60.1,5.4,3.6,0.01,999.9,1,0.482617586912065
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2015,71.2,7.8,9.9,0,999.9,0,0.660531697341513
"123",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2015,73.9,7.8,9.9,0,999.9,0,0.621676891615542
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2015,60.4,7.2,6.3,0.59,999.9,0,0.372188139059305
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2015,50.3,7.7,5.7,0.18,999.9,0,0.486707566462168
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2015,59.9,9.4,8.7,0.05,999.9,0,0.501022494887526
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2015,54.2,15.3,10,0.14,999.9,0,0.519427402862986
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2015,49.6,9.3,10,0,999.9,0,0.539877300613497
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2015,55.3,8.7,10,0,999.9,0,0.515337423312883
"130",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2015,67.6,9.8,9.7,0.16,999.9,0,0.652351738241309
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2015,72.9,6,10,0.03,999.9,0,0.775051124744376
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2015,74.9,11.3,8.3,0,999.9,0,0.680981595092024
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2015,74.6,12.9,10,0,999.9,0,0.521472392638037
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2015,51.4,10.5,10,0,999.9,0,0.417177914110429
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2015,46.2,9.1,10,0,999.9,0,0.462167689161554
"136",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2015,54.7,7.3,10,0.02,999.9,0,0.494887525562372
"137",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2015,60.5,7.5,10,0,999.9,0,0.656441717791411
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2015,65.7,6.7,10,0,999.9,0,0.603271983640082
